epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1159.54,1.01078,1.29214,1.05637,1.51013,0.74626,0.74869,0.7463,0.46562,0.74626,0.74869,0.76007,0.5663,1.30859,1.35748,1.39982,1.29288,0.000646711,0.000646711,0.000646711
31,1199.4,1.09238,1.37011,1.10727,1.55852,0.70059,0.81818,0.75936,0.4775,0.70059,0.81818,0.78295,0.59673,1.33276,1.50066,1.21187,1.33311,0.000636763,0.000636763,0.000636763
32,1243.3,1.05929,1.32107,1.16678,1.52384,0.61351,0.77928,0.70299,0.46102,0.61842,0.79564,0.73525,0.53439,1.31237,1.4801,1.24638,1.34986,0.000626585,0.000626585,0.000626585
33,1280.37,1.04725,1.35066,1.09743,1.5012,0.5084,0.78977,0.68534,0.43845,0.5084,0.78977,0.69188,0.50907,1.29242,1.41363,1.30888,1.36263,0.000616187,0.000616187,0.000616187
34,1318.16,1.0287,1.38185,1.16479,1.54207,0.56222,0.70057,0.6647,0.44503,0.56222,0.70057,0.67877,0.52903,1.23663,1.27344,1.32153,1.31178,0.00060558,0.00060558,0.00060558
35,1354.68,0.99141,1.34497,1.05132,1.48346,0.58147,0.75788,0.69018,0.45731,0.58147,0.75788,0.70319,0.5827,1.20528,1.10991,1.21321,1.25266,0.000594774,0.000594774,0.000594774
36,1392.78,0.9693,1.30165,1.01429,1.43909,0.66487,0.72148,0.69883,0.47102,0.66487,0.72148,0.71209,0.5716,1.14236,1.16444,1.21494,1.20542,0.00058378,0.00058378,0.00058378
37,1429.58,0.99626,1.24242,0.99724,1.4765,0.66419,0.8,0.69891,0.47754,0.67928,0.81818,0.73698,0.55747,1.23968,1.3706,1.27967,1.30491,0.000572609,0.000572609,0.000572609
38,1467.62,0.99016,1.15827,0.9929,1.46845,0.71359,0.77017,0.75,0.50508,0.71359,0.77017,0.76272,0.5956,1.25146,1.16646,1.14426,1.27821,0.000561271,0.000561271,0.000561271
39,1507.3,1.02337,1.15442,1.00986,1.45513,0.7419,0.74545,0.75523,0.50983,0.7419,0.74545,0.77196,0.61988,1.18158,1.0727,1.27129,1.20303,0.000549777,0.000549777,0.000549777
40,1548.87,0.98457,1.22213,0.99955,1.44106,0.62167,0.69091,0.68956,0.48294,0.62167,0.69091,0.70401,0.57027,1.17693,1.07568,1.29724,1.1757,0.00053814,0.00053814,0.00053814
41,1585.42,0.9791,1.3045,0.99004,1.44056,0.60427,0.76364,0.71932,0.49595,0.59608,0.83183,0.73452,0.59425,1.26596,1.2886,1.16283,1.26079,0.000526371,0.000526371,0.000526371
42,1626.55,0.99515,1.27141,1.00428,1.45458,0.70879,0.72727,0.78295,0.5286,0.70879,0.72727,0.78946,0.64794,1.29116,1.0837,1.10709,1.32594,0.00051448,0.00051448,0.00051448
43,1666.55,0.93432,1.18908,0.95458,1.40123,0.64374,0.74545,0.73583,0.50252,0.64374,0.74545,0.74276,0.58639,1.22262,1.1103,1.21396,1.26064,0.000502481,0.000502481,0.000502481
44,1704.83,0.84861,0.97048,0.83102,1.34751,0.69014,0.76364,0.74339,0.49947,0.69014,0.76364,0.75557,0.61323,1.16956,1.06932,1.38024,1.23061,0.000490385,0.000490385,0.000490385
45,1742.79,0.96567,1.19519,0.95269,1.44508,0.78344,0.7894,0.78639,0.56093,0.79738,0.78182,0.80616,0.67819,1.09927,0.96503,1.09535,1.16003,0.000478203,0.000478203,0.000478203
46,1783.78,0.87107,1.01014,0.87911,1.36436,0.78958,0.74545,0.82294,0.58755,0.76326,0.76206,0.82254,0.70455,1.0817,0.99946,1.0326,1.11251,0.000465948,0.000465948,0.000465948
47,1824.85,0.86571,1.00787,0.90313,1.35553,0.81236,0.8,0.84325,0.56832,0.81236,0.8,0.85785,0.69505,1.06904,1.07984,0.95139,1.0887,0.000453632,0.000453632,0.000453632
48,1862.71,0.93615,1.16973,0.99897,1.41258,0.85301,0.73867,0.83895,0.5642,0.85301,0.73867,0.84437,0.65907,1.06355,1.01995,1.00269,1.11283,0.000441267,0.000441267,0.000441267
49,1900.62,0.87256,1.09864,0.83993,1.35918,0.80873,0.70909,0.80684,0.56777,0.80873,0.70909,0.81572,0.64194,1.04952,0.96931,1.06941,1.16666,0.000428865,0.000428865,0.000428865
50,1938.32,0.83805,0.97809,0.85989,1.33238,0.78096,0.74545,0.77384,0.55194,0.77597,0.74545,0.7888,0.62877,1.02198,1.03473,1.06809,1.14807,0.000416439,0.000416439,0.000416439
51,1976.41,0.78285,0.92897,0.7855,1.35193,0.71955,0.83973,0.78607,0.58981,0.71424,0.85455,0.80132,0.67312,1.0296,1.03233,1.1666,1.13367,0.000404,0.000404,0.000404
52,2016.95,0.80265,0.91522,0.79717,1.31911,0.71965,0.83636,0.79401,0.59695,0.71847,0.85455,0.81463,0.67916,1.04089,1.062,1.18331,1.14831,0.000391561,0.000391561,0.000391561
53,2054.92,0.84741,0.96064,0.79606,1.33784,0.81801,0.81725,0.81403,0.5899,0.81801,0.81725,0.83525,0.71513,1.03988,0.79708,1.10207,1.13206,0.000379135,0.000379135,0.000379135
54,2095.36,0.78792,0.95557,0.7818,1.29196,0.88404,0.78182,0.8249,0.58694,0.88404,0.78182,0.85259,0.72546,1.03643,0.77476,0.97594,1.12424,0.000366733,0.000366733,0.000366733
55,2135.59,0.78981,0.91892,0.77767,1.29538,0.76924,0.78182,0.8331,0.61436,0.76924,0.78182,0.85197,0.73866,1.09762,0.83839,0.97322,1.154,0.000354368,0.000354368,0.000354368
56,2175.53,0.78454,0.94151,0.75234,1.30659,0.78921,0.8,0.80562,0.60216,0.78725,0.8,0.82707,0.70299,1.09399,1.15909,1.03912,1.16553,0.000342052,0.000342052,0.000342052
57,2212.26,0.79573,1.02021,0.78345,1.30087,0.80309,0.8,0.80104,0.62392,0.79879,0.8,0.82755,0.66188,1.02599,1.28487,1.00773,1.13045,0.000329797,0.000329797,0.000329797
58,2248.92,0.82235,0.90257,0.76567,1.30764,0.79806,0.8,0.81755,0.643,0.79806,0.8,0.8392,0.67719,0.97463,1.04801,0.91815,1.11864,0.000317615,0.000317615,0.000317615
59,2285.99,0.81324,1.02063,0.76972,1.3125,0.80543,0.8,0.81769,0.61648,0.80543,0.8,0.85051,0.70725,1.03542,0.99514,0.99215,1.13768,0.000305519,0.000305519,0.000305519
