epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3665.85,1.16447,2.07686,1.44907,1.59683,0.3591,0.45278,0.42208,0.31853,0.3649,0.45648,0.42427,0.31145,1.38939,1.76146,1.69602,1.44509,0.00065642,0.00065642,0.00065642
30,3790.76,1.17807,2.1488,1.47789,1.57355,0.41441,0.46204,0.44187,0.33087,0.41587,0.46389,0.44158,0.31974,1.28843,1.75468,1.44371,1.33395,0.000646711,0.000646711,0.000646711
31,3914.98,1.17904,2.07193,1.41785,1.59412,0.67951,0.43327,0.44231,0.32526,0.68299,0.43698,0.44051,0.3341,1.31429,1.74049,1.46572,1.36959,0.000636763,0.000636763,0.000636763
32,4042.28,1.1301,1.97859,1.35809,1.55299,0.74616,0.4019,0.4527,0.332,0.7441,0.40004,0.44852,0.3363,1.32318,1.70661,1.39088,1.39919,0.000626585,0.000626585,0.000626585
33,4166.54,1.18407,2.09954,1.42325,1.63817,0.63262,0.48796,0.4547,0.33677,0.63099,0.48796,0.45585,0.34438,1.33433,1.7204,1.45378,1.4109,0.000616187,0.000616187,0.000616187
34,4291.8,1.17161,2.09851,1.39819,1.55291,0.36953,0.45463,0.45044,0.33916,0.36826,0.45278,0.44943,0.33586,1.3427,1.70076,1.54586,1.41212,0.00060558,0.00060558,0.00060558
35,4417.4,1.13958,1.91306,1.38435,1.53999,0.64967,0.43674,0.44988,0.32468,0.653,0.44604,0.44904,0.33536,1.34585,1.64748,1.34828,1.39167,0.000594774,0.000594774,0.000594774
36,4542.84,1.13467,2.02923,1.34963,1.5239,0.90862,0.3787,0.43331,0.3283,0.89216,0.38241,0.43183,0.32777,1.2919,1.64366,1.31478,1.34841,0.00058378,0.00058378,0.00058378
37,4668.12,1.11394,2.01513,1.33083,1.5437,0.47044,0.42929,0.44902,0.34443,0.46624,0.42799,0.44654,0.32866,1.31696,1.70639,1.44783,1.36827,0.000572609,0.000572609,0.000572609
38,4793.77,1.14586,2.0337,1.38897,1.54315,0.44531,0.46389,0.46629,0.33736,0.44246,0.46944,0.46726,0.34606,1.25991,1.59487,1.3563,1.29459,0.000561271,0.000561271,0.000561271
39,4917.97,1.13065,2.04199,1.3513,1.52819,0.36756,0.47685,0.44948,0.33465,0.36756,0.47685,0.44753,0.35608,1.31155,1.61902,1.31379,1.32498,0.000549777,0.000549777,0.000549777
40,5043.49,1.11774,1.94388,1.30083,1.52787,0.72277,0.44244,0.44592,0.34152,0.72584,0.44815,0.4452,0.34321,1.29752,1.59687,1.34589,1.27792,0.00053814,0.00053814,0.00053814
41,5168.08,1.09793,1.94204,1.31561,1.51503,0.67167,0.45231,0.442,0.33451,0.66804,0.45278,0.43974,0.33287,1.28623,1.62853,1.43651,1.31607,0.000526371,0.000526371,0.000526371
42,5296.23,1.12544,1.98796,1.29703,1.52603,0.39915,0.4529,0.4609,0.35494,0.39775,0.45104,0.45579,0.34117,1.34892,1.69036,1.32513,1.3923,0.00051448,0.00051448,0.00051448
43,5419.51,1.11704,1.92819,1.28549,1.49888,0.37897,0.50621,0.47614,0.35451,0.38305,0.50887,0.4753,0.35685,1.32229,1.71761,1.45657,1.31454,0.000502481,0.000502481,0.000502481
44,5545.8,1.08413,1.86702,1.26949,1.4911,0.65811,0.45833,0.46537,0.36551,0.65948,0.46019,0.46539,0.3645,1.27678,1.58495,1.26196,1.30974,0.000490385,0.000490385,0.000490385
45,5671.37,1.08795,1.91165,1.25205,1.49725,0.38978,0.47396,0.47679,0.37368,0.3902,0.47571,0.47382,0.36131,1.27552,1.65052,1.32475,1.34913,0.000478203,0.000478203,0.000478203
